tokens,labels
date: 2020-11-19,O
nol,O
##te,O
:,O
top,O
poll,O
##ster,O
finds,O
47,O
%,O
say,O
‘,O
likely,O
‘,O
demo,O
##cra,O
##ts,O
stol,O
##e,O
election,O
via,O
@,O
bre,ORG_B
##it,ORG_I
##bar,ORG_I
##tn,ORG_I
##ew,ORG_I
##s,ORG_I
rig,O
##ged,O
election,O
!,O
,O
,O
date: 2020-10-25,O
wisconsin,LOC_B
!,O
#,O
vote,O
#,O
mag,ORG_B
##a,ORG_I
,O
,O
date: 2020-11-10,O
“,O
president,O
trump,PER_B
told,O
us,O
for,O
some,O
time,O
we,O
would,O
be,O
getting,O
a,O
vaccine,O
by,O
the,O
end,O
of,O
the,O
year,O
and,O
people,O
lau,O
##ghe,O
##d,O
at,O
him,O
",",O
and,O
here,O
we,O
are,O
with,O
pfizer,ORG_B
getting,O
fda,ORG_B
approval,O
by,O
the,O
end,O
of,O
this,O
month,O
.,O
he,O
was,O
right,O
.,O
”,O
@,O
maria,PER_B
##bar,PER_I
##ti,PER_I
##rom,PER_I
##o,PER_I
,O
,O
date: 2020-11-19,O
lawyer,O
##s,O
now,O
on,O
@,O
news,ORG_B
##max,ORG_I
",",O
@,O
oa,ORG_B
##nn,ORG_I
&,O
amp,ORG_B
;,O
maybe,O
@,O
fox,ORG_B
##new,ORG_I
##s,ORG_I
.,O
an,O
open,O
and,O
shut,O
case,O
of,O
vote,O
##r,O
fraud,O
.,O
massive,O
numbers,O
!,O
,O
,O
date: 2020-11-19,O
the,O
cov,O
##id,O
drugs,O
now,O
available,O
to,O
make,O
people,O
better,O
are,O
amazing,O
",",O
but,O
sel,O
##dom,O
talked,O
about,O
by,O
the,O
media,O
!,O
mortality,O
rate,O
is,O
85,O
%,O
down,O
!,O
,O
,O
date: 2020-11-19,O
vote,O
##r,O
fraud,O
in,O
detroit,O
is,O
ramp,O
##ant,O
",",O
and,O
has,O
been,O
for,O
many,O
years,O
!,O
,O
,O
date: 2020-11-10,O
“,O
only,O
because,O
of,O
president,O
trump,O
",",O
we,O
are,O
going,O
to,O
have,O
a,O
vaccine,O
by,O
the,O
end,O
of,O
the,O
year,O
.,O
”,O
ron,PER_B
##ny,PER_I
jackson,PER_I
",",O
texas,O
congress,O
##man,O
-,O
elect,O
,O
